,Model,model,train_mae,train_rmse,test_mae,test_rmse
0,KNN_High_30,KNeighborsRegressor(),42.64642857142855,68.66916875356445,56.93303656597774,89.679421194004
1,RNN_High_30,"<Sequential name=sequential, built=True>",6388.075538870503,8842.006702157707,5890.950196399294,8445.55431374805
2,LSTM_High_30,"<Sequential name=sequential_1, built=True>",7344.065736365419,9658.73037632952,6824.880555033722,9234.803681606209
3,GRU_High_30,"<Sequential name=sequential_2, built=True>",7094.49621732245,9470.356250964196,6575.311035990753,9051.923534108757
4,Bidirectional_LSTM_High_30,"<Sequential name=sequential_3, built=True>",7089.85363919745,9466.87887150857,6570.668457865753,9048.551731107143
5,KNN_High_60,KNeighborsRegressor(),36.85089891632618,58.3335888587827,52.81908945686901,82.674611689751
6,RNN_High_60,"<Sequential name=sequential_4, built=True>",6420.16787507963,8879.185491078595,5964.652275577826,8381.736154465296
7,LSTM_High_60,"<Sequential name=sequential_5, built=True>",7344.116346988756,9670.166650050169,6862.606533803727,9159.013397263634
8,GRU_High_60,"<Sequential name=sequential_6, built=True>",7292.598768863756,9631.099362236286,6811.088955678727,9120.47645332292
9,Bidirectional_LSTM_High_60,"<Sequential name=sequential_7, built=True>",7169.336622867662,9538.105982511755,6687.826809682632,9028.797561677795
10,KNN_High_90,KNeighborsRegressor(),36.929139593002496,58.769966157340505,48.79014446227931,74.20484820380837
11,RNN_High_90,"<Sequential name=sequential_8, built=True>",6435.286207344685,8883.259255811849,6157.737374246025,8600.264854388215
12,LSTM_High_90,"<Sequential name=sequential_9, built=True>",7415.442658205043,9716.644215222388,7114.961598227611,9422.602905551634
13,GRU_High_90,"<Sequential name=sequential_10, built=True>",7094.012788331734,9473.612099591543,6793.526356528392,9182.307298729575
14,Bidirectional_LSTM_High_90,"<Sequential name=sequential_11, built=True>",7218.741852540979,9567.372623751748,6918.260792563548,9274.971663858521
